date,home_team,score,away_team
18-03-2023,Celtic,3 - 1,Hibernian
01-04-2023,Hibernian,1 - 3,Motherwell
09-04-2023,Dundee United,2 - 1,Hibernian
15-04-2023,Hibernian,1 - 0,Hearts
22-04-2023,St Johnstone,1 - 1,Hibernian
06-05-2023,Hibernian,2 - 1,St Mirren
13-05-2023,Aberdeen,0 - 0,Hibernian
21-05-2023,Hibernian,1 - 3,Rangers
24-05-2023,Hibernian,4 - 2,Celtic
27-05-2023,Hearts,1 - 1,Hibernian
30-07-2022,Kilmarnock,1 - 1,Dundee United
06-08-2022,Rangers,2 - 0,Kilmarnock
14-08-2022,Kilmarnock,0 - 5,Celtic
20-08-2022,Ross County,1 - 0,Kilmarnock
27-08-2022,Kilmarnock,2 - 1,Motherwell
03-09-2022,Hibernian,1 - 0,Kilmarnock
17-09-2022,Livingston,1 - 0,Kilmarnock
01-10-2022,Aberdeen,4 - 1,Kilmarnock
05-10-2022,Kilmarnock,2 - 1,St Johnstone
09-10-2022,Kilmarnock,2 - 2,Hearts
15-10-2022,St Mirren,0 - 0,Kilmarnock
22-10-2022,Kilmarnock,1 - 0,Ross County
29-10-2022,St Johnstone,1 - 0,Kilmarnock
04-11-2022,Kilmarnock,2 - 3,Livingston
09-11-2022,Dundee United,4 - 0,Kilmarnock
12-11-2022,Kilmarnock,1 - 0,Hibernian
17-12-2022,Hearts,3 - 1,Kilmarnock
23-12-2022,Motherwell,2 - 2,Kilmarnock
28-12-2022,Kilmarnock,2 - 1,Aberdeen
02-01-2023,Kilmarnock,0 - 0,St Mirren
07-01-2023,Celtic,2 - 0,Kilmarnock
18-01-2023,Kilmarnock,2 - 3,Rangers
28-01-2023,Ross County,3 - 0,Kilmarnock
01-02-2023,Kilmarnock,1 - 0,Dundee United
04-02-2023,Livingston,3 - 1,Kilmarnock
18-02-2023,Hibernian,2 - 0,Kilmarnock
25-02-2023,Kilmarnock,1 - 1,Motherwell
04-03-2023,Rangers,3 - 1,Kilmarnock
18-03-2023,Kilmarnock,1 - 1,St Johnstone
01-04-2023,Kilmarnock,2 - 1,Hearts
08-04-2023,Aberdeen,2 - 0,Kilmarnock
16-04-2023,Kilmarnock,1 - 4,Celtic
22-04-2023,St Mirren,0 - 2,Kilmarnock
06-05-2023,Motherwell,2 - 0,Kilmarnock
13-05-2023,Kilmarnock,2 - 0,Livingston
20-05-2023,Kilmarnock,0 - 1,St Johnstone
24-05-2023,Dundee United,0 - 3,Kilmarnock
28-05-2023,Kilmarnock,3 - 1,Ross County
30-07-2022,Livingston,1 - 2,Rangers
07-08-2022,Dundee United,0 - 1,Livingston
13-08-2022,Livingston,2 - 1,Hibernian
20-08-2022,Motherwell,1 - 0,Livingston
27-08-2022,Aberdeen,5 - 0,Livingston
03-09-2022,Livingston,1 - 0,Hearts
17-09-2022,Livingston,1 - 0,Kilmarnock
01-10-2022,St Mirren,2 - 1,Livingston
08-10-2022,Livingston,0 - 1,Ross County
15-10-2022,Livingston,1 - 0,St Johnstone
22-10-2022,Rangers,1 - 1,Livingston
30-10-2022,Livingston,0 - 3,Celtic
04-11-2022,Kilmarnock,2 - 3,Livingston
08-11-2022,Livingston,2 - 1,Aberdeen
12-11-2022,Hearts,1 - 1,Livingston
